,age,sum_ins,duration,age_of_contract,interest_rate
42,56.0,163539.0,15.0,12.0,0.0225
43,55.0,121477.0,19.0,2.0,0.009
44,80.0,21547.0,16.0,13.0,0.0225
45,67.0,76921.0,12.0,4.0,0.0125
46,54.0,105674.0,17.0,3.0,0.009
47,68.0,110998.0,13.0,10.0,0.0225
48,46.0,87765.0,12.0,2.0,0.009
49,59.0,131199.0,17.0,12.0,0.0225
50,47.0,110735.0,14.0,7.0,0.0175
51,65.0,61945.0,17.0,9.0,0.0225
52,49.0,71621.0,10.0,6.0,0.0175
53,67.0,59325.0,17.0,14.0,0.0275
54,66.0,67058.0,11.0,9.0,0.0225
55,79.0,261187.0,13.0,4.0,0.0125
56,57.0,176472.0,15.0,5.0,0.0125
57,51.0,165193.0,15.0,5.0,0.0125
58,58.0,86663.0,13.0,5.0,0.0125
59,64.0,72410.0,14.0,4.0,0.0125
60,58.0,175226.0,14.0,13.0,0.0225
61,62.0,85284.0,12.0,4.0,0.0125
62,56.0,120369.0,21.0,2.0,0.009
63,66.0,36511.0,12.0,11.0,0.0225
64,67.0,233983.0,14.0,13.0,0.0225
65,67.0,321818.0,10.0,2.0,0.009
66,70.0,192307.0,14.0,13.0,0.0225
67,53.0,178283.0,15.0,5.0,0.0125
68,59.0,270523.0,21.0,2.0,0.009
69,46.0,139822.0,11.0,0.0,0.009
70,72.0,108391.0,16.0,15.0,0.0275
71,55.0,41521.0,17.0,6.0,0.0175
72,55.0,254640.0,17.0,3.0,0.009
73,75.0,187949.0,13.0,7.0,0.0175
74,48.0,120982.0,14.0,3.0,0.009
75,47.0,150711.0,17.0,4.0,0.0125
76,63.0,59630.0,16.0,5.0,0.0125
77,87.0,187001.0,18.0,17.0,0.0325
78,63.0,307105.0,18.0,1.0,0.009
79,50.0,252515.0,12.0,8.0,0.0175
80,76.0,158537.0,14.0,13.0,0.0225
81,64.0,208732.0,13.0,5.0,0.0125
82,68.0,168074.0,14.0,13.0,0.0225
83,62.0,313987.0,15.0,7.0,0.0175
84,57.0,58313.0,12.0,10.0,0.0225
85,60.0,58786.0,16.0,13.0,0.0225
86,56.0,241344.0,14.0,3.0,0.009
87,58.0,110579.0,13.0,9.0,0.0225
88,46.0,132105.0,14.0,4.0,0.0125
89,45.0,101770.0,8.0,4.0,0.0125
90,39.0,114325.0,12.0,0.0,0.009
91,54.0,74431.0,16.0,8.0,0.0175
92,53.0,135308.0,12.0,7.0,0.0175
93,52.0,116329.0,14.0,10.0,0.0225
94,51.0,31057.0,13.0,7.0,0.0175
95,60.0,191608.0,17.0,9.0,0.0225
96,60.0,328891.0,10.0,6.0,0.0175
97,59.0,345384.0,18.0,15.0,0.0275
98,61.0,62207.0,11.0,5.0,0.0125
99,51.0,56012.0,13.0,7.0,0.0175
100,57.0,306397.0,13.0,9.0,0.0225
101,65.0,63094.0,11.0,10.0,0.0225
102,51.0,30146.0,10.0,6.0,0.0175
103,61.0,136287.0,14.0,12.0,0.0225
104,85.0,29866.0,14.0,9.0,0.0225
105,51.0,37383.0,11.0,1.0,0.009
106,58.0,163420.0,13.0,6.0,0.0175
107,56.0,102678.0,10.0,7.0,0.0175
108,70.0,89969.0,20.0,12.0,0.0225
109,53.0,30433.0,16.0,6.0,0.0175
110,57.0,57437.0,17.0,4.0,0.0125
111,79.0,356476.0,18.0,17.0,0.0325
112,52.0,105117.0,14.0,5.0,0.0125
113,62.0,134141.0,15.0,8.0,0.0175
114,55.0,388112.0,11.0,6.0,0.0175
115,41.0,94522.0,15.0,2.0,0.009
116,47.0,101324.0,10.0,4.0,0.0125
117,65.0,184501.0,12.0,3.0,0.009
118,57.0,177848.0,10.0,7.0,0.0175
119,75.0,86840.0,14.0,8.0,0.0175
120,68.0,180895.0,13.0,12.0,0.0225
121,72.0,37682.0,11.0,9.0,0.0225
122,53.0,147556.0,16.0,9.0,0.0225
123,59.0,85525.0,15.0,0.0,0.009
124,62.0,192305.0,11.0,3.0,0.009
125,72.0,113933.0,16.0,2.0,0.009
126,54.0,229668.0,12.0,10.0,0.0225
127,70.0,45355.0,18.0,17.0,0.0325
128,56.0,188256.0,15.0,2.0,0.009
129,49.0,117211.0,8.0,6.0,0.0175
130,76.0,214698.0,16.0,9.0,0.0225
131,51.0,36429.0,9.0,8.0,0.0175
132,47.0,213727.0,13.0,9.0,0.0225
133,56.0,98497.0,15.0,12.0,0.0225
134,58.0,308336.0,18.0,13.0,0.0225
135,67.0,170461.0,13.0,0.0,0.009
136,75.0,31574.0,18.0,14.0,0.0275
137,54.0,248873.0,13.0,8.0,0.0175
138,52.0,190288.0,13.0,10.0,0.0225
139,35.0,155264.0,16.0,0.0,0.009
140,63.0,151683.0,18.0,16.0,0.0275
141,77.0,288567.0,12.0,3.0,0.009
142,46.0,39681.0,15.0,1.0,0.009
143,48.0,44276.0,15.0,3.0,0.009
144,63.0,321245.0,20.0,17.0,0.0325
145,61.0,94406.0,18.0,7.0,0.0175
146,58.0,184367.0,14.0,4.0,0.0125
147,59.0,124034.0,15.0,8.0,0.0175
148,61.0,197465.0,19.0,1.0,0.009
149,61.0,150224.0,17.0,0.0,0.009
150,57.0,112873.0,11.0,9.0,0.0225
151,56.0,110732.0,10.0,3.0,0.009
152,36.0,59328.0,12.0,1.0,0.009
153,60.0,21598.0,12.0,3.0,0.009
154,62.0,396225.0,14.0,5.0,0.0125
155,68.0,94041.0,12.0,10.0,0.0225
156,72.0,130069.0,16.0,13.0,0.0225
157,49.0,130275.0,14.0,7.0,0.0175
158,58.0,31969.0,18.0,8.0,0.0175
159,50.0,386820.0,15.0,7.0,0.0175
160,73.0,177268.0,9.0,8.0,0.0175
161,59.0,149373.0,9.0,7.0,0.0175
162,62.0,138792.0,17.0,15.0,0.0275
163,49.0,71914.0,13.0,3.0,0.009
164,51.0,102860.0,13.0,3.0,0.009
165,53.0,123868.0,14.0,8.0,0.0175
166,61.0,96874.0,13.0,7.0,0.0175
167,62.0,177915.0,14.0,13.0,0.0225
168,50.0,70376.0,12.0,3.0,0.009
169,51.0,198526.0,12.0,5.0,0.0125
170,60.0,59785.0,25.0,13.0,0.0225
171,56.0,204105.0,13.0,12.0,0.0225
172,46.0,183557.0,15.0,4.0,0.0125
173,67.0,83061.0,14.0,13.0,0.0225
174,57.0,229312.0,11.0,1.0,0.009
175,43.0,42714.0,12.0,0.0,0.009
176,68.0,320791.0,13.0,4.0,0.0125
177,44.0,233477.0,10.0,3.0,0.009
178,54.0,134238.0,18.0,8.0,0.0175
179,55.0,165329.0,9.0,6.0,0.0175
180,71.0,35874.0,16.0,10.0,0.0225
181,59.0,180883.0,19.0,12.0,0.0225
182,54.0,47942.0,13.0,6.0,0.0175
183,66.0,215833.0,14.0,9.0,0.0225
184,68.0,227542.0,11.0,7.0,0.0175
185,48.0,52389.0,17.0,3.0,0.009
186,64.0,43810.0,15.0,2.0,0.009
187,51.0,106254.0,14.0,2.0,0.009
188,57.0,51028.0,18.0,4.0,0.0125
189,65.0,183181.0,14.0,12.0,0.0225
190,95.0,60380.0,13.0,12.0,0.0225
191,60.0,93537.0,11.0,9.0,0.0225
192,49.0,51902.0,13.0,3.0,0.009
193,47.0,146077.0,20.0,5.0,0.0125
194,55.0,150679.0,18.0,6.0,0.0175
195,50.0,157982.0,19.0,14.0,0.0275
196,65.0,237995.0,17.0,4.0,0.0125
197,49.0,223457.0,15.0,1.0,0.009
198,49.0,226461.0,11.0,0.0,0.009
199,53.0,118837.0,16.0,10.0,0.0225
200,70.0,102762.0,14.0,12.0,0.0225
201,65.0,62862.0,17.0,13.0,0.0225
202,61.0,50653.0,16.0,9.0,0.0225
203,45.0,119287.0,14.0,9.0,0.0225
204,46.0,130195.0,14.0,6.0,0.0175
205,53.0,181299.0,12.0,0.0,0.009
206,60.0,99785.0,12.0,4.0,0.0125
207,47.0,349703.0,11.0,4.0,0.0125
208,53.0,250256.0,16.0,6.0,0.0175
209,55.0,107485.0,18.0,13.0,0.0225
210,62.0,104428.0,10.0,1.0,0.009
211,66.0,29933.0,13.0,9.0,0.0225
212,65.0,71288.0,14.0,8.0,0.0175
213,56.0,90824.0,15.0,1.0,0.009
214,47.0,76908.0,17.0,8.0,0.0175
215,53.0,24713.0,10.0,6.0,0.0175
216,55.0,275730.0,20.0,12.0,0.0225
217,49.0,37154.0,9.0,2.0,0.009
218,48.0,407696.0,12.0,9.0,0.0225
219,38.0,242296.0,12.0,0.0,0.009
220,62.0,171486.0,14.0,4.0,0.0125
221,45.0,263947.0,13.0,9.0,0.0225
222,61.0,294627.0,11.0,7.0,0.0175
223,48.0,98862.0,10.0,6.0,0.0175
224,41.0,208673.0,18.0,4.0,0.0125
225,59.0,298454.0,16.0,13.0,0.0225
226,54.0,74517.0,20.0,7.0,0.0175
227,64.0,240500.0,9.0,6.0,0.0175
228,54.0,273551.0,11.0,6.0,0.0175
229,41.0,24313.0,12.0,1.0,0.009
230,47.0,95804.0,16.0,2.0,0.009
231,59.0,265419.0,19.0,7.0,0.0175
232,54.0,126147.0,14.0,4.0,0.0125
233,46.0,92565.0,16.0,0.0,0.009
234,52.0,171630.0,15.0,10.0,0.0225
235,61.0,41872.0,10.0,2.0,0.009
236,62.0,82258.0,13.0,2.0,0.009
237,53.0,67207.0,12.0,4.0,0.0125
238,49.0,200486.0,15.0,1.0,0.009
239,54.0,54496.0,16.0,8.0,0.0175
240,63.0,142333.0,18.0,17.0,0.0325
241,53.0,181324.0,12.0,7.0,0.0175
242,56.0,246687.0,15.0,1.0,0.009
243,71.0,67652.0,12.0,9.0,0.0225
244,72.0,91045.0,17.0,13.0,0.0225
245,48.0,49408.0,9.0,1.0,0.009
246,55.0,172400.0,15.0,5.0,0.0125
247,64.0,71020.0,9.0,1.0,0.009
248,48.0,349703.0,14.0,5.0,0.0125
249,65.0,263521.0,14.0,7.0,0.0175
250,52.0,254145.0,18.0,5.0,0.0125
251,60.0,196522.0,12.0,2.0,0.009
252,49.0,155924.0,15.0,5.0,0.0125
253,47.0,158310.0,17.0,0.0,0.009
254,41.0,57004.0,14.0,3.0,0.009
255,47.0,32384.0,12.0,4.0,0.0125
256,51.0,429316.0,13.0,0.0,0.009
257,44.0,139294.0,11.0,1.0,0.009
258,44.0,240256.0,14.0,4.0,0.0125
259,49.0,40439.0,10.0,0.0,0.009
260,63.0,208495.0,9.0,2.0,0.009
261,50.0,193203.0,18.0,9.0,0.0225
262,69.0,197600.0,13.0,3.0,0.009
263,64.0,99165.0,14.0,9.0,0.0225
264,55.0,36039.0,18.0,17.0,0.0325
265,58.0,393683.0,15.0,11.0,0.0225
266,44.0,89843.0,14.0,2.0,0.009
267,53.0,298673.0,10.0,2.0,0.009
268,76.0,241150.0,9.0,7.0,0.0175
269,50.0,66194.0,13.0,12.0,0.0225
270,45.0,171422.0,14.0,5.0,0.0125
271,51.0,327998.0,13.0,12.0,0.0225
272,60.0,108215.0,15.0,0.0,0.009
273,53.0,170433.0,10.0,7.0,0.0175
274,52.0,211569.0,13.0,9.0,0.0225
275,48.0,203359.0,21.0,2.0,0.009
276,43.0,32010.0,12.0,0.0,0.009
277,50.0,338274.0,12.0,0.0,0.009
278,49.0,314950.0,17.0,11.0,0.0225
279,51.0,48684.0,15.0,4.0,0.0125
280,46.0,150560.0,14.0,3.0,0.009
281,44.0,294837.0,15.0,1.0,0.009
282,57.0,344850.0,14.0,8.0,0.0175
283,54.0,292204.0,7.0,5.0,0.0125
284,51.0,28711.0,14.0,0.0,0.009
285,50.0,327020.0,13.0,9.0,0.0225
286,50.0,114937.0,11.0,0.0,0.009
287,73.0,67108.0,24.0,20.0,0.0325
288,57.0,237868.0,14.0,2.0,0.009
289,53.0,197244.0,11.0,7.0,0.0175
290,54.0,156961.0,15.0,8.0,0.0175
291,37.0,131616.0,17.0,2.0,0.009
292,60.0,128185.0,10.0,7.0,0.0175
293,60.0,121198.0,14.0,11.0,0.0225
294,49.0,31956.0,13.0,10.0,0.0225
295,73.0,114924.0,13.0,7.0,0.0175
296,55.0,63343.0,18.0,3.0,0.009
297,66.0,66624.0,17.0,10.0,0.0225
298,53.0,142671.0,14.0,1.0,0.009
299,73.0,262409.0,14.0,9.0,0.0225
300,50.0,127155.0,19.0,8.0,0.0175
301,57.0,284486.0,12.0,6.0,0.0175
302,58.0,62319.0,13.0,12.0,0.0225
303,63.0,29671.0,16.0,4.0,0.0125
304,70.0,116567.0,18.0,10.0,0.0225
305,53.0,148410.0,13.0,6.0,0.0175
306,54.0,29664.0,12.0,2.0,0.009
307,64.0,140199.0,14.0,4.0,0.0125
308,77.0,90875.0,16.0,14.0,0.0275
309,76.0,76573.0,11.0,7.0,0.0175
310,62.0,41345.0,17.0,11.0,0.0225
311,48.0,44449.0,13.0,1.0,0.009
312,60.0,252952.0,12.0,11.0,0.0225
313,71.0,56927.0,15.0,3.0,0.009
314,49.0,70237.0,15.0,6.0,0.0175
315,63.0,206347.0,14.0,13.0,0.0225
316,55.0,230965.0,13.0,12.0,0.0225
317,61.0,97458.0,22.0,6.0,0.0175
318,51.0,200795.0,13.0,7.0,0.0175
319,54.0,115552.0,14.0,2.0,0.009
320,58.0,170290.0,21.0,1.0,0.009
321,62.0,262707.0,22.0,10.0,0.0225
322,52.0,66188.0,13.0,8.0,0.0175
323,61.0,174399.0,13.0,10.0,0.0225
324,54.0,90746.0,9.0,8.0,0.0175
325,54.0,322258.0,14.0,3.0,0.009
326,55.0,21890.0,10.0,2.0,0.009
327,79.0,178608.0,14.0,2.0,0.009
328,47.0,69306.0,14.0,9.0,0.0225
329,51.0,231048.0,11.0,4.0,0.0125
330,44.0,92310.0,13.0,2.0,0.009
331,66.0,172459.0,10.0,4.0,0.0125
332,55.0,288177.0,9.0,2.0,0.009
333,58.0,69592.0,13.0,3.0,0.009
334,49.0,92260.0,19.0,1.0,0.009
335,56.0,226611.0,17.0,13.0,0.0225
336,46.0,46297.0,14.0,6.0,0.0175
337,68.0,78954.0,15.0,8.0,0.0175
338,42.0,216464.0,15.0,0.0,0.009
339,55.0,68019.0,19.0,6.0,0.0175
340,61.0,89434.0,16.0,14.0,0.0275
341,65.0,66849.0,13.0,12.0,0.0225
342,72.0,228268.0,12.0,11.0,0.0225
343,48.0,44650.0,9.0,3.0,0.009
344,65.0,274326.0,25.0,11.0,0.0225
345,58.0,62329.0,11.0,1.0,0.009
346,54.0,130031.0,13.0,8.0,0.0175
347,54.0,71486.0,13.0,5.0,0.0125
348,49.0,59118.0,11.0,5.0,0.0125
349,62.0,58754.0,17.0,0.0,0.009
350,48.0,69912.0,12.0,10.0,0.0225
351,56.0,48668.0,19.0,10.0,0.0225
352,55.0,216641.0,21.0,13.0,0.0225
353,71.0,114818.0,22.0,15.0,0.0275
354,53.0,322184.0,12.0,9.0,0.0225
355,66.0,208858.0,16.0,0.0,0.009
356,83.0,107799.0,21.0,10.0,0.0225
357,56.0,61411.0,14.0,6.0,0.0175
358,55.0,187711.0,14.0,11.0,0.0225
359,42.0,234066.0,10.0,4.0,0.0125
360,58.0,73072.0,9.0,0.0,0.009
361,72.0,194531.0,10.0,2.0,0.009
362,53.0,89739.0,12.0,9.0,0.0225
363,67.0,196411.0,18.0,11.0,0.0225
364,62.0,185576.0,14.0,7.0,0.0175
365,49.0,247353.0,13.0,5.0,0.0125
366,55.0,56593.0,20.0,15.0,0.0275
367,62.0,74516.0,13.0,8.0,0.0175
368,48.0,112017.0,15.0,6.0,0.0175
369,71.0,229875.0,19.0,18.0,0.0325
370,56.0,24387.0,19.0,12.0,0.0225
371,52.0,116582.0,11.0,7.0,0.0175
372,56.0,280415.0,13.0,10.0,0.0225
373,70.0,70916.0,11.0,10.0,0.0225
374,45.0,145152.0,17.0,7.0,0.0175
375,61.0,160095.0,22.0,20.0,0.0325
376,55.0,107503.0,17.0,5.0,0.0125
377,51.0,129515.0,19.0,3.0,0.009
378,52.0,199409.0,16.0,3.0,0.009
379,42.0,236741.0,11.0,0.0,0.009
380,43.0,449636.0,13.0,2.0,0.009
381,60.0,104199.0,12.0,10.0,0.0225
382,43.0,307659.0,8.0,4.0,0.0125
383,54.0,155827.0,14.0,4.0,0.0125
384,68.0,207090.0,13.0,12.0,0.0225
385,62.0,102405.0,10.0,4.0,0.0125
386,74.0,271315.0,16.0,15.0,0.0275
387,43.0,123537.0,15.0,1.0,0.009
388,65.0,95763.0,12.0,10.0,0.0225
389,74.0,152163.0,17.0,11.0,0.0225
390,35.0,113605.0,16.0,2.0,0.009
391,53.0,287175.0,11.0,5.0,0.0125
392,42.0,302156.0,12.0,5.0,0.0125
393,57.0,81030.0,10.0,5.0,0.0125
394,73.0,181161.0,18.0,17.0,0.0325
395,63.0,276726.0,22.0,11.0,0.0225
396,44.0,58810.0,12.0,1.0,0.009
397,50.0,343081.0,11.0,6.0,0.0175
398,52.0,135546.0,13.0,7.0,0.0175
399,52.0,63155.0,15.0,8.0,0.0175
400,52.0,90796.0,17.0,7.0,0.0175
401,53.0,105013.0,13.0,8.0,0.0175
402,58.0,32966.0,13.0,1.0,0.009
403,56.0,85049.0,17.0,13.0,0.0225
404,63.0,178845.0,10.0,7.0,0.0175
405,55.0,122859.0,13.0,1.0,0.009
406,67.0,62498.0,15.0,7.0,0.0175
407,61.0,324579.0,22.0,13.0,0.0225
408,49.0,215306.0,11.0,7.0,0.0175
409,53.0,130515.0,15.0,6.0,0.0175
410,71.0,127334.0,15.0,7.0,0.0175
411,67.0,99189.0,18.0,10.0,0.0225
412,49.0,147183.0,14.0,4.0,0.0125
413,46.0,101512.0,15.0,4.0,0.0125
414,60.0,211544.0,14.0,5.0,0.0125
415,41.0,74427.0,13.0,0.0,0.009
416,42.0,169468.0,17.0,3.0,0.009
417,45.0,56355.0,12.0,7.0,0.0175
418,62.0,72716.0,12.0,5.0,0.0125
419,43.0,147945.0,13.0,0.0,0.009
420,49.0,91408.0,12.0,6.0,0.0175
421,47.0,433224.0,14.0,7.0,0.0175
422,60.0,279403.0,11.0,8.0,0.0175
423,45.0,125253.0,14.0,6.0,0.0175
424,56.0,566108.0,14.0,7.0,0.0175
425,59.0,82612.0,12.0,1.0,0.009
426,66.0,114715.0,19.0,14.0,0.0275
427,74.0,71449.0,14.0,9.0,0.0225
428,59.0,436537.0,16.0,14.0,0.0275
429,57.0,122098.0,9.0,6.0,0.0175
430,59.0,42529.0,16.0,9.0,0.0225
431,43.0,42377.0,12.0,0.0,0.009
432,46.0,82719.0,14.0,0.0,0.009
433,50.0,133071.0,17.0,4.0,0.0125
434,66.0,332417.0,10.0,4.0,0.0125
435,51.0,45614.0,11.0,7.0,0.0175
436,61.0,124651.0,12.0,10.0,0.0225
437,43.0,26582.0,13.0,1.0,0.009
438,43.0,264130.0,14.0,3.0,0.009
439,50.0,96778.0,10.0,0.0,0.009
440,56.0,146131.0,14.0,13.0,0.0225
441,51.0,60929.0,16.0,6.0,0.0175
442,55.0,145782.0,11.0,3.0,0.009
443,64.0,76826.0,13.0,12.0,0.0225
444,56.0,260925.0,12.0,10.0,0.0225
445,61.0,168645.0,10.0,7.0,0.0175
446,54.0,145869.0,15.0,5.0,0.0125
447,44.0,179910.0,12.0,2.0,0.009
448,63.0,91559.0,14.0,2.0,0.009
449,54.0,257142.0,17.0,15.0,0.0275
450,61.0,91056.0,14.0,13.0,0.0225
451,49.0,154642.0,13.0,1.0,0.009
452,50.0,75225.0,20.0,0.0,0.009
453,56.0,170384.0,16.0,9.0,0.0225
454,55.0,195460.0,22.0,13.0,0.0225
455,61.0,548887.0,12.0,9.0,0.0225
456,64.0,153699.0,14.0,12.0,0.0225
457,56.0,100491.0,16.0,11.0,0.0225
458,72.0,90643.0,15.0,14.0,0.0275
459,56.0,38538.0,16.0,0.0,0.009
460,56.0,309547.0,19.0,6.0,0.0175
461,60.0,69267.0,18.0,5.0,0.0125
462,41.0,52051.0,12.0,6.0,0.0175
463,52.0,51764.0,18.0,8.0,0.0175
464,52.0,55138.0,13.0,6.0,0.0175
465,52.0,88443.0,14.0,4.0,0.0125
466,45.0,103621.0,11.0,2.0,0.009
467,60.0,131638.0,17.0,11.0,0.0225
468,47.0,236732.0,16.0,1.0,0.009
469,77.0,94057.0,15.0,9.0,0.0225
470,57.0,55840.0,11.0,7.0,0.0175
471,82.0,193986.0,12.0,9.0,0.0225
472,51.0,324178.0,12.0,3.0,0.009
473,74.0,231040.0,17.0,16.0,0.0275
474,46.0,39633.0,13.0,2.0,0.009
475,58.0,184208.0,20.0,4.0,0.0125
476,49.0,74467.0,10.0,5.0,0.0125
477,49.0,110226.0,15.0,7.0,0.0175
478,62.0,130683.0,12.0,6.0,0.0175
479,70.0,173847.0,15.0,7.0,0.0175
480,61.0,157962.0,14.0,9.0,0.0225
481,46.0,93770.0,13.0,6.0,0.0175
482,45.0,226829.0,9.0,1.0,0.009
483,78.0,103869.0,20.0,11.0,0.0225
484,51.0,125677.0,11.0,2.0,0.009
485,68.0,163278.0,16.0,8.0,0.0175
486,59.0,169358.0,12.0,5.0,0.0125
487,47.0,128328.0,16.0,0.0,0.009
488,54.0,63597.0,13.0,4.0,0.0125
489,51.0,233939.0,22.0,5.0,0.0125
490,68.0,188769.0,21.0,11.0,0.0225
491,63.0,153914.0,16.0,10.0,0.0225
492,64.0,223276.0,13.0,12.0,0.0225
493,51.0,43614.0,13.0,1.0,0.009
494,63.0,224922.0,11.0,8.0,0.0175
495,60.0,314942.0,18.0,8.0,0.0175
496,53.0,109019.0,11.0,5.0,0.0125
497,65.0,65422.0,13.0,11.0,0.0225
498,41.0,83646.0,18.0,6.0,0.0175
499,68.0,273721.0,24.0,3.0,0.009
500,51.0,184860.0,17.0,2.0,0.009
501,49.0,349822.0,12.0,1.0,0.009
502,60.0,32568.0,13.0,7.0,0.0175
503,43.0,89290.0,12.0,1.0,0.009
504,52.0,172877.0,12.0,6.0,0.0175
505,70.0,132563.0,13.0,11.0,0.0225
506,47.0,32030.0,8.0,1.0,0.009
507,47.0,85477.0,19.0,4.0,0.0125
508,64.0,134137.0,17.0,4.0,0.0125
509,63.0,174617.0,14.0,12.0,0.0225
510,66.0,60970.0,15.0,13.0,0.0225
511,70.0,34291.0,21.0,9.0,0.0225
512,51.0,65751.0,10.0,0.0,0.009
513,53.0,22358.0,18.0,13.0,0.0225
514,58.0,65266.0,12.0,9.0,0.0225
515,42.0,25859.0,11.0,6.0,0.0175
516,45.0,225041.0,9.0,5.0,0.0125
517,48.0,228817.0,16.0,12.0,0.0225
518,67.0,17267.0,11.0,10.0,0.0225
519,56.0,133926.0,9.0,0.0,0.009
520,56.0,137479.0,12.0,5.0,0.0125
521,58.0,297828.0,19.0,0.0,0.009
522,48.0,271114.0,15.0,4.0,0.0125
523,70.0,105564.0,13.0,11.0,0.0225
524,54.0,503402.0,19.0,0.0,0.009
525,64.0,255984.0,13.0,7.0,0.0175
526,54.0,423428.0,16.0,9.0,0.0225
527,60.0,215948.0,13.0,12.0,0.0225
528,60.0,87688.0,14.0,4.0,0.0125
529,60.0,76035.0,22.0,15.0,0.0275
530,44.0,65719.0,16.0,2.0,0.009
531,70.0,300898.0,14.0,13.0,0.0225
532,75.0,211507.0,14.0,11.0,0.0225
533,53.0,161988.0,13.0,0.0,0.009
534,51.0,97480.0,13.0,9.0,0.0225
535,48.0,122445.0,14.0,11.0,0.0225
536,52.0,253170.0,15.0,3.0,0.009
537,41.0,286953.0,10.0,4.0,0.0125
538,65.0,315591.0,14.0,10.0,0.0225
539,52.0,177305.0,10.0,4.0,0.0125
540,47.0,44367.0,13.0,9.0,0.0225
541,69.0,267551.0,17.0,10.0,0.0225
542,46.0,345903.0,14.0,1.0,0.009
543,54.0,199393.0,14.0,5.0,0.0125
544,44.0,136804.0,8.0,2.0,0.009
545,59.0,82617.0,13.0,2.0,0.009
546,60.0,77767.0,12.0,4.0,0.0125
547,62.0,17666.0,17.0,11.0,0.0225
548,55.0,530670.0,18.0,2.0,0.009
549,53.0,137247.0,11.0,10.0,0.0225
550,56.0,50822.0,12.0,8.0,0.0175
551,55.0,65574.0,12.0,9.0,0.0225
552,54.0,174853.0,9.0,6.0,0.0175
553,54.0,355368.0,9.0,5.0,0.0125
554,65.0,231018.0,19.0,18.0,0.0325
555,52.0,123149.0,13.0,1.0,0.009
556,70.0,40640.0,15.0,8.0,0.0175
557,51.0,161960.0,11.0,6.0,0.0175
558,52.0,105576.0,15.0,0.0,0.009
559,42.0,87809.0,15.0,3.0,0.009
560,44.0,78767.0,12.0,1.0,0.009
561,70.0,404741.0,16.0,13.0,0.0225
562,57.0,256709.0,25.0,10.0,0.0225
563,48.0,334870.0,17.0,11.0,0.0225
564,53.0,66695.0,14.0,13.0,0.0225
565,47.0,74222.0,13.0,12.0,0.0225
566,54.0,191038.0,23.0,3.0,0.009
567,60.0,50502.0,18.0,12.0,0.0225
568,64.0,19441.0,18.0,15.0,0.0275
569,48.0,205028.0,12.0,6.0,0.0175
570,48.0,92214.0,20.0,0.0,0.009
571,59.0,268407.0,14.0,10.0,0.0225
572,56.0,195929.0,12.0,7.0,0.0175
573,52.0,297035.0,12.0,2.0,0.009
574,53.0,121838.0,15.0,6.0,0.0175
575,68.0,237101.0,9.0,4.0,0.0125
576,74.0,162523.0,9.0,4.0,0.0125
577,60.0,50762.0,17.0,15.0,0.0275
578,60.0,52217.0,10.0,2.0,0.009
579,56.0,142337.0,29.0,13.0,0.0225
580,65.0,140395.0,18.0,4.0,0.0125
581,59.0,135442.0,15.0,5.0,0.0125
582,56.0,174369.0,11.0,2.0,0.009
583,52.0,81840.0,13.0,9.0,0.0225
584,40.0,104277.0,11.0,0.0,0.009
585,51.0,96602.0,11.0,0.0,0.009
586,64.0,24850.0,17.0,8.0,0.0175
587,56.0,71693.0,14.0,9.0,0.0225
