,age,fund,salary,salary_scale,contribution
122,-0.234375,0.578125,-0.703125,-0.484375,-0.796875
123,-0.484375,-0.171875,0.546875,0.265625,0.453125
124,0.515625,0.828125,-0.453125,-0.734375,-0.546875
125,0.015625,-0.671875,-0.953125,0.765625,-0.046875
126,-0.984375,0.328125,0.046875,-0.234375,0.953125
127,-0.9765625,-0.3359375,0.5703125,0.8828125,-0.0703125
128,0.0234375,0.6640625,-0.4296875,-0.1171875,0.9296875
129,0.5234375,-0.8359375,-0.9296875,0.3828125,0.4296875
130,-0.4765625,0.1640625,0.0703125,-0.6171875,-0.5703125
131,-0.2265625,-0.5859375,-0.1796875,0.6328125,0.1796875
132,0.7734375,0.4140625,0.8203125,-0.3671875,-0.8203125
133,0.2734375,-0.0859375,0.3203125,0.1328125,-0.3203125
134,-0.7265625,0.9140625,-0.6796875,-0.8671875,0.6796875
135,-0.6015625,-0.9609375,0.1953125,-0.4921875,0.8046875
136,0.3984375,0.0390625,-0.8046875,0.5078125,-0.1953125
137,0.8984375,-0.4609375,-0.3046875,-0.9921875,-0.6953125
138,-0.1015625,0.5390625,0.6953125,0.0078125,0.3046875
139,-0.3515625,-0.2109375,-0.5546875,-0.2421875,-0.9453125
140,0.6484375,0.7890625,0.4453125,0.7578125,0.0546875
141,0.1484375,-0.7109375,0.9453125,-0.7421875,0.5546875
142,-0.8515625,0.2890625,-0.0546875,0.2578125,-0.4453125
143,-0.7890625,-0.6484375,-0.8671875,0.1953125,-0.5078125
144,0.2109375,0.3515625,0.1328125,-0.8046875,0.4921875
145,0.7109375,-0.1484375,0.6328125,0.6953125,0.9921875
146,-0.2890625,0.8515625,-0.3671875,-0.3046875,-0.0078125
147,-0.0390625,-0.3984375,0.3828125,0.4453125,0.7421875
148,0.9609375,0.6015625,-0.6171875,-0.5546875,-0.2578125
149,0.4609375,-0.8984375,-0.1171875,0.9453125,-0.7578125
150,-0.5390625,0.1015625,0.8828125,-0.0546875,0.2421875
151,-0.6640625,-0.0234375,-0.4921875,-0.6796875,0.3671875
152,0.3359375,0.9765625,0.5078125,0.3203125,-0.6328125
153,0.8359375,-0.5234375,0.0078125,-0.1796875,-0.1328125
154,-0.1640625,0.4765625,-0.9921875,0.8203125,0.8671875
155,-0.4140625,-0.7734375,0.7578125,-0.9296875,-0.3828125
156,0.5859375,0.2265625,-0.2421875,0.0703125,0.6171875
157,0.0859375,-0.2734375,-0.7421875,-0.4296875,0.1171875
158,-0.9140625,0.7265625,0.2578125,0.5703125,-0.8828125
159,-0.8828125,-0.8671875,-0.3359375,-0.2109375,0.5234375
160,0.1171875,0.1328125,0.6640625,0.7890625,-0.4765625
161,0.6171875,-0.3671875,0.1640625,-0.7109375,-0.9765625
162,-0.3828125,0.6328125,-0.8359375,0.2890625,0.0234375
163,-0.1328125,-0.1171875,0.9140625,-0.4609375,-0.7265625
164,0.8671875,0.8828125,-0.0859375,0.5390625,0.2734375
165,0.3671875,-0.6171875,-0.5859375,-0.9609375,0.7734375
166,-0.6328125,0.3828125,0.4140625,0.0390625,-0.2265625
167,-0.5078125,-0.4921875,-0.9609375,0.6640625,-0.3515625
168,0.4921875,0.5078125,0.0390625,-0.3359375,0.6484375
169,0.9921875,-0.9921875,0.5390625,0.1640625,0.1484375
170,-0.0078125,0.0078125,-0.4609375,-0.8359375,-0.8515625
171,-0.2578125,-0.7421875,0.2890625,0.9140625,0.3984375
172,0.7421875,0.2578125,-0.7109375,-0.0859375,-0.6015625
173,0.2421875,-0.2421875,-0.2109375,0.4140625,-0.1015625
174,-0.7578125,0.7578125,0.7890625,-0.5859375,0.8984375
175,-0.8203125,-0.1796875,0.1015625,-0.8984375,0.0859375
176,0.1796875,0.8203125,-0.8984375,0.1015625,-0.9140625
177,0.6796875,-0.6796875,-0.3984375,-0.3984375,-0.4140625
178,-0.3203125,0.3203125,0.6015625,0.6015625,0.5859375
179,-0.0703125,-0.9296875,-0.6484375,-0.6484375,-0.1640625
180,0.9296875,0.0703125,0.3515625,0.3515625,0.8359375
181,0.4296875,-0.4296875,0.8515625,-0.1484375,0.3359375
182,-0.5703125,0.5703125,-0.1484375,0.8515625,-0.6640625
183,-0.6953125,-0.5546875,0.7265625,0.4765625,-0.7890625
184,0.3046875,0.4453125,-0.2734375,-0.5234375,0.2109375
185,0.8046875,-0.0546875,-0.7734375,0.9765625,0.7109375
186,-0.1953125,0.9453125,0.2265625,-0.0234375,-0.2890625
187,-0.4453125,-0.3046875,-0.0234375,0.2265625,0.9609375
188,0.5546875,0.6953125,0.9765625,-0.7734375,-0.0390625
189,0.0546875,-0.8046875,0.4765625,0.7265625,-0.5390625
190,-0.9453125,0.1953125,-0.5234375,-0.2734375,0.4609375
191,-0.9609375,-0.6015625,0.4609375,-0.5078125,-0.4921875
192,0.0390625,0.3984375,-0.5390625,0.4921875,0.5078125
193,0.5390625,-0.1015625,-0.0390625,-0.0078125,0.0078125
194,-0.4609375,0.8984375,0.9609375,0.9921875,-0.9921875
195,-0.2109375,-0.3515625,-0.7890625,-0.7578125,0.2578125
196,0.7890625,0.6484375,0.2109375,0.2421875,-0.7421875
197,0.2890625,-0.8515625,0.7109375,-0.2578125,-0.2421875
198,-0.7109375,0.1484375,-0.2890625,0.7421875,0.7578125
199,-0.5859375,-0.2265625,0.8359375,0.1171875,0.6328125
200,0.4140625,0.7734375,-0.1640625,-0.8828125,-0.3671875
201,0.9140625,-0.7265625,-0.6640625,0.6171875,-0.8671875
202,-0.0859375,0.2734375,0.3359375,-0.3828125,0.1328125
203,-0.3359375,-0.9765625,-0.4140625,0.3671875,-0.6171875
204,0.6640625,0.0234375,0.5859375,-0.6328125,0.3828125
205,0.1640625,-0.4765625,0.0859375,0.8671875,0.8828125
206,-0.8359375,0.5234375,-0.9140625,-0.1328125,-0.1171875
207,-0.7734375,-0.4140625,-0.2265625,-0.3203125,-0.9296875
208,0.2265625,0.5859375,0.7734375,0.6796875,0.0703125
209,0.7265625,-0.9140625,0.2734375,-0.8203125,0.5703125
210,-0.2734375,0.0859375,-0.7265625,0.1796875,-0.4296875
211,-0.0234375,-0.6640625,0.5234375,-0.0703125,0.8203125
212,0.9765625,0.3359375,-0.4765625,0.9296875,-0.1796875
213,0.4765625,-0.1640625,-0.9765625,-0.5703125,-0.6796875
214,-0.5234375,0.8359375,0.0234375,0.4296875,0.3203125
215,-0.6484375,-0.7890625,-0.6015625,0.8046875,0.1953125
216,0.3515625,0.2109375,0.3984375,-0.1953125,-0.8046875
217,0.8515625,-0.2890625,0.8984375,0.3046875,-0.3046875
218,-0.1484375,0.7109375,-0.1015625,-0.6953125,0.6953125
219,-0.3984375,-0.0390625,0.1484375,0.5546875,-0.0546875
220,0.6015625,0.9609375,-0.8515625,-0.4453125,0.9453125
221,0.1015625,-0.5390625,-0.3515625,0.0546875,0.4453125
222,-0.8984375,0.4609375,0.6484375,-0.9453125,-0.5546875
223,-0.9296875,-0.0703125,-0.6953125,0.3359375,0.9140625
224,0.0703125,0.9296875,0.3046875,-0.6640625,-0.0859375
225,0.5703125,-0.5703125,0.8046875,0.8359375,-0.5859375
226,-0.4296875,0.4296875,-0.1953125,-0.1640625,0.4140625
227,-0.1796875,-0.8203125,0.0546875,0.0859375,-0.8359375
228,0.8203125,0.1796875,-0.9453125,-0.9140625,0.1640625
229,0.3203125,-0.3203125,-0.4453125,0.5859375,0.6640625
230,-0.6796875,0.6796875,0.5546875,-0.4140625,-0.3359375
231,-0.5546875,-0.6953125,-0.0703125,-0.7890625,-0.2109375
232,0.4453125,0.3046875,0.9296875,0.2109375,0.7890625
233,0.9453125,-0.1953125,0.4296875,-0.2890625,0.2890625
234,-0.0546875,0.8046875,-0.5703125,0.7109375,-0.7109375
235,-0.3046875,-0.4453125,0.6796875,-0.5390625,0.0390625
236,0.6953125,0.5546875,-0.3203125,0.4609375,-0.9609375
237,0.1953125,-0.9453125,-0.8203125,-0.0390625,-0.4609375
238,-0.8046875,0.0546875,0.1796875,0.9609375,0.5390625
239,-0.8671875,-0.8828125,0.9921875,0.5234375,0.4765625
240,0.1328125,0.1171875,-0.0078125,-0.4765625,-0.5234375
241,0.6328125,-0.3828125,-0.5078125,0.0234375,-0.0234375
242,-0.3671875,0.6171875,0.4921875,-0.9765625,0.9765625
243,-0.1171875,-0.1328125,-0.2578125,0.7734375,-0.2734375
244,0.8828125,0.8671875,0.7421875,-0.2265625,0.7265625
245,0.3828125,-0.6328125,0.2421875,0.2734375,0.2265625
246,-0.6171875,0.3671875,-0.7578125,-0.7265625,-0.7734375
247,-0.7421875,-0.2578125,0.3671875,-0.1015625,-0.6484375
248,0.2578125,0.7421875,-0.6328125,0.8984375,0.3515625
249,0.7578125,-0.7578125,-0.1328125,-0.6015625,0.8515625
250,-0.2421875,0.2421875,0.8671875,0.3984375,-0.1484375
251,-0.4921875,-0.5078125,-0.8828125,-0.3515625,0.6015625
252,0.5078125,0.4921875,0.1171875,0.6484375,-0.3984375
253,0.0078125,-0.0078125,0.6171875,-0.8515625,-0.8984375
254,-0.9921875,0.9921875,-0.3828125,0.1484375,0.1015625
255,-0.98828125,-0.00390625,0.30859375,-0.43359375,0.66796875
256,0.01171875,0.99609375,-0.69140625,0.56640625,-0.33203125
257,0.51171875,-0.50390625,-0.19140625,-0.93359375,-0.83203125
258,-0.48828125,0.49609375,0.80859375,0.06640625,0.16796875
259,-0.23828125,-0.75390625,-0.94140625,-0.18359375,-0.58203125
260,0.76171875,0.24609375,0.05859375,0.81640625,0.41796875
261,0.26171875,-0.25390625,0.55859375,-0.68359375,0.91796875
262,-0.73828125,0.74609375,-0.44140625,0.31640625,-0.08203125
263,-0.61328125,-0.62890625,0.93359375,0.94140625,-0.45703125
264,0.38671875,0.37109375,-0.06640625,-0.05859375,0.54296875
265,0.88671875,-0.12890625,-0.56640625,0.44140625,0.04296875
266,-0.11328125,0.87109375,0.43359375,-0.55859375,-0.95703125
267,-0.36328125,-0.37890625,-0.31640625,0.69140625,0.29296875
268,0.63671875,0.62109375,0.68359375,-0.30859375,-0.70703125
269,0.13671875,-0.87890625,0.18359375,0.19140625,-0.20703125
270,-0.86328125,0.12109375,-0.81640625,-0.80859375,0.79296875
271,-0.80078125,-0.94140625,-0.00390625,-0.74609375,0.23046875
272,0.19921875,0.05859375,0.99609375,0.25390625,-0.76953125
273,0.69921875,-0.44140625,0.49609375,-0.24609375,-0.26953125
274,-0.30078125,0.55859375,-0.50390625,0.75390625,0.73046875
275,-0.05078125,-0.19140625,0.74609375,-0.99609375,-0.01953125
276,0.94921875,0.80859375,-0.25390625,0.00390625,0.98046875
277,0.44921875,-0.69140625,-0.75390625,-0.49609375,0.48046875
278,-0.55078125,0.30859375,0.24609375,0.50390625,-0.51953125
279,-0.67578125,-0.31640625,-0.62890625,0.12890625,-0.89453125
280,0.32421875,0.68359375,0.37109375,-0.87109375,0.10546875
281,0.82421875,-0.81640625,0.87109375,0.62890625,0.60546875
282,-0.17578125,0.18359375,-0.12890625,-0.37109375,-0.39453125
283,-0.42578125,-0.56640625,0.12109375,0.37890625,0.85546875
284,0.57421875,0.43359375,-0.87890625,-0.62109375,-0.14453125
285,0.07421875,-0.06640625,-0.37890625,0.87890625,-0.64453125
286,-0.92578125,0.93359375,0.62109375,-0.12109375,0.35546875
287,-0.89453125,-0.53515625,-0.53515625,0.72265625,-0.23828125
288,0.10546875,0.46484375,0.46484375,-0.27734375,0.76171875
289,0.60546875,-0.03515625,0.96484375,0.22265625,0.26171875
290,-0.39453125,0.96484375,-0.03515625,-0.77734375,-0.73828125
291,-0.14453125,-0.28515625,0.21484375,0.97265625,0.01171875
292,0.85546875,0.71484375,-0.78515625,-0.02734375,-0.98828125
293,0.35546875,-0.78515625,-0.28515625,0.47265625,-0.48828125
294,-0.64453125,0.21484375,0.71484375,-0.52734375,0.51171875
295,-0.51953125,-0.16015625,-0.16015625,-0.15234375,0.88671875
296,0.48046875,0.83984375,0.83984375,0.84765625,-0.11328125
297,0.98046875,-0.66015625,0.33984375,-0.65234375,-0.61328125
298,-0.01953125,0.33984375,-0.66015625,0.34765625,0.38671875
299,-0.26953125,-0.91015625,0.58984375,-0.40234375,-0.86328125
300,0.73046875,0.08984375,-0.41015625,0.59765625,0.13671875
301,0.23046875,-0.41015625,-0.91015625,-0.90234375,0.63671875
302,-0.76953125,0.58984375,0.08984375,0.09765625,-0.36328125
303,-0.83203125,-0.47265625,0.77734375,0.41015625,-0.67578125
304,0.16796875,0.52734375,-0.22265625,-0.58984375,0.32421875
305,0.66796875,-0.97265625,-0.72265625,0.91015625,0.82421875
306,-0.33203125,0.02734375,0.27734375,-0.08984375,-0.17578125
307,-0.08203125,-0.72265625,-0.47265625,0.16015625,0.57421875
308,0.91796875,0.27734375,0.52734375,-0.83984375,-0.42578125
309,0.41796875,-0.22265625,0.02734375,0.66015625,-0.92578125
310,-0.58203125,0.77734375,-0.97265625,-0.33984375,0.07421875
311,-0.70703125,-0.84765625,0.40234375,-0.96484375,0.44921875
312,0.29296875,0.15234375,-0.59765625,0.03515625,-0.55078125
313,0.79296875,-0.34765625,-0.09765625,-0.46484375,-0.05078125
314,-0.20703125,0.65234375,0.90234375,0.53515625,0.94921875
315,-0.45703125,-0.09765625,-0.84765625,-0.71484375,-0.30078125
316,0.54296875,0.90234375,0.15234375,0.28515625,0.69921875
317,0.04296875,-0.59765625,0.65234375,-0.21484375,0.19921875
318,-0.95703125,0.40234375,-0.34765625,0.78515625,-0.80078125
319,-0.94140625,-0.80078125,0.66796875,0.05078125,0.77734375
320,0.05859375,0.19921875,-0.33203125,-0.94921875,-0.22265625
321,0.55859375,-0.30078125,-0.83203125,0.55078125,-0.72265625
322,-0.44140625,0.69921875,0.16796875,-0.44921875,0.27734375
323,-0.19140625,-0.05078125,-0.08203125,0.30078125,-0.97265625
324,0.80859375,0.94921875,0.91796875,-0.69921875,0.02734375
325,0.30859375,-0.55078125,0.41796875,0.80078125,0.52734375
326,-0.69140625,0.44921875,-0.58203125,-0.19921875,-0.47265625
327,-0.56640625,-0.42578125,0.04296875,-0.57421875,-0.09765625
328,0.43359375,0.57421875,-0.95703125,0.42578125,0.90234375
329,0.93359375,-0.92578125,-0.45703125,-0.07421875,0.40234375
330,-0.06640625,0.07421875,0.54296875,0.92578125,-0.59765625
331,-0.31640625,-0.67578125,-0.70703125,-0.82421875,0.15234375
332,0.68359375,0.32421875,0.29296875,0.17578125,-0.84765625
333,0.18359375,-0.17578125,0.79296875,-0.32421875,-0.34765625
334,-0.81640625,0.82421875,-0.20703125,0.67578125,0.65234375
335,-0.75390625,-0.23828125,-0.89453125,0.86328125,0.33984375
336,0.24609375,0.76171875,0.10546875,-0.13671875,-0.66015625
337,0.74609375,-0.73828125,0.60546875,0.36328125,-0.16015625
338,-0.25390625,0.26171875,-0.39453125,-0.63671875,0.83984375
339,-0.00390625,-0.98828125,0.35546875,0.61328125,-0.41015625
340,0.99609375,0.01171875,-0.64453125,-0.38671875,0.58984375
341,0.49609375,-0.48828125,-0.14453125,0.11328125,0.08984375
342,-0.50390625,0.51171875,0.85546875,-0.88671875,-0.91015625
343,-0.62890625,-0.61328125,-0.26953125,-0.26171875,-0.53515625
344,0.37109375,0.38671875,0.73046875,0.73828125,0.46484375
345,0.87109375,-0.11328125,0.23046875,-0.76171875,0.96484375
346,-0.12890625,0.88671875,-0.76953125,0.23828125,-0.03515625
347,-0.37890625,-0.36328125,0.98046875,-0.01171875,0.71484375
348,0.62109375,0.63671875,-0.01953125,0.98828125,-0.28515625
349,0.12109375,-0.86328125,-0.51953125,-0.51171875,-0.78515625
350,-0.87890625,0.13671875,0.48046875,0.48828125,0.21484375
351,-0.91015625,-0.26953125,-0.42578125,-0.85546875,-0.31640625
352,0.08984375,0.73046875,0.57421875,0.14453125,0.68359375
353,0.58984375,-0.76953125,0.07421875,-0.35546875,0.18359375
354,-0.41015625,0.23046875,-0.92578125,0.64453125,-0.81640625
355,-0.16015625,-0.51953125,0.82421875,-0.60546875,0.43359375
356,0.83984375,0.48046875,-0.17578125,0.39453125,-0.56640625
357,0.33984375,-0.01953125,-0.67578125,-0.10546875,-0.06640625
358,-0.66015625,0.98046875,0.32421875,0.89453125,0.93359375
359,-0.53515625,-0.89453125,-0.80078125,0.26953125,0.55859375
360,0.46484375,0.10546875,0.19921875,-0.73046875,-0.44140625
361,0.96484375,-0.39453125,0.69921875,0.76953125,-0.94140625
362,-0.03515625,0.60546875,-0.30078125,-0.23046875,0.05859375
363,-0.28515625,-0.14453125,0.44921875,0.01953125,-0.69140625
364,0.71484375,0.85546875,-0.55078125,-0.98046875,0.30859375
365,0.21484375,-0.64453125,-0.05078125,0.51953125,0.80859375
366,-0.78515625,0.35546875,0.94921875,-0.48046875,-0.19140625
367,-0.84765625,-0.70703125,0.13671875,-0.04296875,-0.75390625
368,0.15234375,0.29296875,-0.86328125,0.95703125,0.24609375
369,0.65234375,-0.20703125,-0.36328125,-0.54296875,0.74609375
370,-0.34765625,0.79296875,0.63671875,0.45703125,-0.25390625
371,-0.09765625,-0.45703125,-0.61328125,-0.29296875,0.99609375
372,0.90234375,0.54296875,0.38671875,0.70703125,-0.00390625
373,0.40234375,-0.95703125,0.88671875,-0.79296875,-0.50390625
374,-0.59765625,0.04296875,-0.11328125,0.20703125,0.49609375
375,-0.72265625,-0.08203125,0.51171875,0.58203125,0.12109375
376,0.27734375,0.91796875,-0.48828125,-0.41796875,-0.87890625
377,0.77734375,-0.58203125,-0.98828125,0.08203125,-0.37890625
378,-0.22265625,0.41796875,0.01171875,-0.91796875,0.62109375
379,-0.47265625,-0.83203125,-0.23828125,0.83203125,-0.12890625
380,0.52734375,0.16796875,0.76171875,-0.16796875,0.87109375
381,0.02734375,-0.33203125,0.26171875,0.33203125,0.37109375
382,-0.97265625,0.66796875,-0.73828125,-0.66796875,-0.62890625
383,-0.98046875,-0.66796875,-0.13671875,0.44921875,0.26953125
384,0.01953125,0.33203125,0.86328125,-0.55078125,-0.73046875
385,0.51953125,-0.16796875,0.36328125,0.94921875,-0.23046875
386,-0.48046875,0.83203125,-0.63671875,-0.05078125,0.76953125
387,-0.23046875,-0.41796875,0.61328125,0.19921875,-0.48046875
388,0.76953125,0.58203125,-0.38671875,-0.80078125,0.51953125
389,0.26953125,-0.91796875,-0.88671875,0.69921875,0.01953125
390,-0.73046875,0.08203125,0.11328125,-0.30078125,-0.98046875
391,-0.60546875,-0.04296875,-0.51171875,-0.92578125,-0.60546875
392,0.39453125,0.95703125,0.48828125,0.07421875,0.39453125
393,0.89453125,-0.54296875,0.98828125,-0.42578125,0.89453125
394,-0.10546875,0.45703125,-0.01171875,0.57421875,-0.10546875
395,-0.35546875,-0.79296875,0.23828125,-0.67578125,0.64453125
396,0.64453125,0.20703125,-0.76171875,0.32421875,-0.35546875
397,0.14453125,-0.29296875,-0.26171875,-0.17578125,-0.85546875
398,-0.85546875,0.70703125,0.73828125,0.82421875,0.14453125
399,-0.79296875,-0.35546875,0.42578125,0.63671875,0.83203125
400,0.20703125,0.64453125,-0.57421875,-0.36328125,-0.16796875
401,0.70703125,-0.85546875,-0.07421875,0.13671875,-0.66796875
402,-0.29296875,0.14453125,0.92578125,-0.86328125,0.33203125
403,-0.04296875,-0.60546875,-0.82421875,0.88671875,-0.91796875
404,0.95703125,0.39453125,0.17578125,-0.11328125,0.08203125
405,0.45703125,-0.10546875,0.67578125,0.38671875,0.58203125
406,-0.54296875,0.89453125,-0.32421875,-0.61328125,-0.41796875
407,-0.66796875,-0.98046875,0.80078125,-0.23828125,-0.04296875
408,0.33203125,0.01953125,-0.19921875,0.76171875,0.95703125
409,0.83203125,-0.48046875,-0.69921875,-0.73828125,0.45703125
410,-0.16796875,0.51953125,0.30078125,0.26171875,-0.54296875
411,-0.41796875,-0.23046875,-0.44921875,-0.48828125,0.20703125
412,0.58203125,0.76953125,0.55078125,0.51171875,-0.79296875
413,0.08203125,-0.73046875,0.05078125,-0.98828125,-0.29296875
414,-0.91796875,0.26953125,-0.94921875,0.01171875,0.70703125
415,-0.88671875,-0.13671875,0.89453125,-0.64453125,-0.82421875
416,0.11328125,0.86328125,-0.10546875,0.35546875,0.17578125
417,0.61328125,-0.63671875,-0.60546875,-0.14453125,0.67578125
418,-0.38671875,0.36328125,0.39453125,0.85546875,-0.32421875
419,-0.13671875,-0.88671875,-0.35546875,-0.89453125,0.92578125
420,0.86328125,0.11328125,0.64453125,0.10546875,-0.07421875
421,0.36328125,-0.38671875,0.14453125,-0.39453125,-0.57421875
422,-0.63671875,0.61328125,-0.85546875,0.60546875,0.42578125
423,-0.51171875,-0.51171875,0.26953125,0.23046875,0.05078125
424,0.48828125,0.48828125,-0.73046875,-0.76953125,-0.94921875
